city,holc_grade,sum_area_holc_km2
Akron,A,23.911091453411657
Akron,B,30.350610853457148
Akron,C,83.41334692455193
Akron,D,13.059141658355962
Albany,A,11.184920431975584
Albany,B,7.730133643183215
Albany,C,11.641168808207395
Albany,D,6.614673053352001
Altoona,A,0.4494608677085946
Altoona,B,3.6059688810584336
Altoona,C,12.344796470374277
Altoona,D,3.1930366126278353
Amarillo,A,5.787937480456178
Amarillo,B,7.290093332370764
Amarillo,C,7.916114764519332
Amarillo,D,25.819606802381852
Arlington,A,1.2253847876919703
Arlington,B,6.6872300568533865
Arlington,C,3.7313175159451295
Asheville,A,8.057269388759815
Asheville,B,5.65039251069745
Asheville,C,20.91865720410507
Asheville,D,4.597062566392417
Atlanta,A,11.77593565318002
Atlanta,B,18.551911103625393
Atlanta,C,46.859345150786496
Atlanta,D,31.39199207844231
Atlantic City,A,0.6267568019240561
Atlantic City,B,6.158599101531387
Atlantic City,C,21.81751397751726
Atlantic City,D,5.2342615668817185
Augusta,A,0.8382510927457012
Augusta,B,2.194773176416417
Augusta,C,4.935662476887193
Augusta,D,11.326061398971083
Aurora,A,1.1346480854299026
Aurora,B,3.082992680514009
Aurora,C,5.8455948004112335
Aurora,D,11.65419624316495
Austin,A,15.834624805961395
Austin,B,14.057417524701759
Austin,C,3.880625624893733
Austin,D,11.982825882049097
Baltimore,A,11.710866952912376
Baltimore,B,66.09161676170636
Baltimore,C,45.444379623701835
Baltimore,D,21.12285523989483
Battle Creek,A,0.7807761955174072
Battle Creek,B,1.2339834057604733
Battle Creek,C,17.91609358048781
Battle Creek,D,7.927909293582386
Bay City,A,0.5705965180997254
Bay City,B,0.9736342814496489
Bay City,C,6.93891815362622
Bay City,D,8.252500862777174
Beaumont,A,2.192007150321592
Beaumont,B,6.85333666386951
Beaumont,C,4.220941121509038
Beaumont,D,6.455843321336508
Belmont,A,2.485821748658601
Belmont,B,3.349126318476942
Belmont,C,1.6964017358650059
Belmont,D,0.20898031143458
Bergen Co.,A,5.558462394401424
Bergen Co.,B,52.76808725843018
Bergen Co.,C,101.56645588333056
Bergen Co.,D,19.93298665124365
Bethlehem,A,0.8058918632679596
Bethlehem,B,7.378766072852932
Bethlehem,C,2.5178704859109478
Bethlehem,D,2.957575212978774
Binghamton-Johnson City,A,1.6643939158241858
Binghamton-Johnson City,B,13.637591809767128
Binghamton-Johnson City,C,17.76907512124638
Binghamton-Johnson City,D,0.9915263653433207
Birmingham,A,8.663620384673889
